-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1981 through 03/31/2021 
Location: Latitude  21.4484   Longitude -157.7559 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,PRECTOTCORR,WS10M
1981,1,1,24.73,1.62,1.46
1981,1,2,24.55,0.47,5.41
1981,1,3,24.4,2.17,6.73
1981,1,4,22.91,2.07,6.07
1981,1,5,23.81,0.54,4.18
1981,1,6,24.51,0.31,1.8
1981,1,7,24.06,2.02,2.8
1981,1,8,23.55,2.69,4.2
1981,1,9,23.76,1.45,2.95
1981,1,10,23.81,0.08,1.46
1981,1,11,23.58,1.49,1.88
1981,1,12,24.01,4.6,1.14
1981,1,13,24.19,0.93,2.09
1981,1,14,23.94,0.47,1.63
1981,1,15,24.16,0.0,2.03
1981,1,16,23.97,0.33,6.34
1981,1,17,23.62,0.05,7.45
1981,1,18,22.87,0.01,5.88
1981,1,19,23.57,0.05,8.83
1981,1,20,21.47,0.59,8.38
1981,1,21,21.55,0.19,7.48
1981,1,22,23.98,0.97,2.58
1981,1,23,24.31,0.01,2.48
1981,1,24,24.01,0.05,4.59
1981,1,25,23.8,0.14,5.14
1981,1,26,22.75,1.28,8.23
1981,1,27,23.35,1.97,9.38
1981,1,28,24.05,3.93,5.56
1981,1,29,23.69,3.38,1.49
1981,1,30,23.79,0.23,3.32
1981,1,31,24.01,1.62,1.74
1981,2,1,23.59,0.88,3.7
1981,2,2,23.59,1.37,2.56
1981,2,3,23.9,1.17,4.61
1981,2,4,23.86,0.04,3.82
1981,2,5,22.73,1.73,7.71
1981,2,6,20.77,0.0,5.02
1981,2,7,21.49,0.2,4.31
1981,2,8,21.11,4.86,8.58
1981,2,9,20.12,0.1,5.54
1981,2,10,22.73,0.89,6.04
1981,2,11,24.49,20.45,10.9
1981,2,12,23.81,5.86,3.56
1981,2,13,24.46,0.36,4.95
1981,2,14,24.83,1.73,4.12
1981,2,15,24.33,0.16,4.45
1981,2,16,24.4,2.66,3.62
1981,2,17,23.98,0.11,2.46
1981,2,18,23.46,0.3,6.96
1981,2,19,23.37,0.28,7.43
1981,2,20,22.87,1.98,6.19
1981,2,21,22.87,1.31,9.7
1981,2,22,23.6,0.84,11.5
1981,2,23,23.3,0.52,11.04
1981,2,24,22.9,0.41,11.09
1981,2,25,23.11,2.34,12.12
1981,2,26,23.09,1.5,11.85
1981,2,27,22.53,0.63,11.3
1981,2,28,22.55,0.12,11.03
1981,3,1,23.0,0.35,9.47
1981,3,2,23.4,0.2,9.08
1981,3,3,23.41,1.54,9.3
1981,3,4,23.56,0.35,8.05
1981,3,5,23.87,0.47,4.91
1981,3,6,23.51,1.39,5.13
1981,3,7,23.33,1.51,2.38
1981,3,8,22.55,0.54,6.14
1981,3,9,22.99,0.1,4.84
1981,3,10,23.46,0.04,4.59
1981,3,11,23.1,0.54,5.31
1981,3,12,23.18,0.06,4.36
1981,3,13,22.81,0.15,4.23
1981,3,14,22.56,0.65,4.51
1981,3,15,22.94,1.26,2.82
1981,3,16,22.22,6.59,7.05
1981,3,17,20.82,4.26,7.23
1981,3,18,21.37,1.63,6.41
1981,3,19,22.16,0.26,4.71
1981,3,20,22.1,0.18,2.66
1981,3,21,22.8,0.11,2.67
1981,3,22,23.57,0.04,2.41
1981,3,23,23.12,0.02,3.09
1981,3,24,22.86,0.43,6.75
1981,3,25,23.37,0.16,8.1
1981,3,26,23.76,0.06,7.76
1981,3,27,23.5,0.34,8.08
1981,3,28,23.18,0.14,10.39
1981,3,29,23.12,0.35,10.16
1981,3,30,22.92,0.59,10.05
1981,3,31,22.84,0.51,10.75
1981,4,1,23.01,0.83,10.56
1981,4,2,23.05,0.92,10.48
1981,4,3,23.04,0.83,8.48
1981,4,4,23.14,0.26,7.06
1981,4,5,23.03,0.32,6.5
1981,4,6,23.46,0.34,6.27
1981,4,7,23.23,2.71,6.88
1981,4,8,23.46,1.41,2.34
1981,4,9,23.88,0.17,2.16
1981,4,10,22.76,0.27,4.55
1981,4,11,23.23,0.34,4.36
1981,4,12,22.91,0.09,4.41
1981,4,13,22.75,0.17,5.41
1981,4,14,23.86,1.18,3.8
1981,4,15,24.04,1.39,2.62
1981,4,16,23.67,0.08,5.38
1981,4,17,23.81,0.06,6.2
1981,4,18,23.32,0.06,7.91
1981,4,19,23.24,0.41,9.14
1981,4,20,23.9,0.87,7.58
1981,4,21,23.57,1.19,6.41
1981,4,22,23.26,0.67,6.66
1981,4,23,23.11,0.81,7.28
1981,4,24,22.98,0.22,7.02
1981,4,25,23.08,0.08,6.13
1981,4,26,24.4,0.02,2.39
1981,4,27,24.58,0.35,1.18
1981,4,28,23.35,0.62,6.12
1981,4,29,22.46,2.92,9.08
1981,4,30,22.33,4.68,8.65
1981,5,1,22.08,0.2,8.84
1981,5,2,21.94,0.04,4.82
1981,5,3,22.54,0.01,2.13
1981,5,4,23.19,0.42,2.02
1981,5,5,23.7,0.91,1.09
1981,5,6,23.39,1.0,2.13
1981,5,7,22.55,4.84,4.91
1981,5,8,23.85,0.86,3.94
1981,5,9,24.28,0.1,3.76
1981,5,10,24.09,1.68,6.49
1981,5,11,23.58,0.12,7.75
1981,5,12,23.65,0.09,9.04
1981,5,13,23.8,0.07,9.83
1981,5,14,23.92,0.9,8.34
1981,5,15,23.88,0.36,8.95
1981,5,16,23.8,0.16,9.26
1981,5,17,23.98,0.09,9.55
1981,5,18,24.03,0.2,8.8
1981,5,19,23.93,0.29,8.18
1981,5,20,24.5,0.25,8.18
1981,5,21,24.53,0.16,7.72
1981,5,22,24.31,0.01,7.74
1981,5,23,23.84,0.18,7.2
1981,5,24,24.02,0.64,5.47
1981,5,25,23.9,0.02,4.74
1981,5,26,24.38,0.2,3.43
1981,5,27,24.52,0.07,4.24
1981,5,28,24.14,0.42,6.37
1981,5,29,24.34,0.32,7.3
1981,5,30,24.37,0.19,6.9
1981,5,31,24.43,0.5,7.67
1981,6,1,24.19,0.18,7.46
1981,6,2,24.82,0.33,7.23
1981,6,3,24.62,0.32,7.06
1981,6,4,24.7,0.17,8.13
1981,6,5,24.8,0.25,8.56
1981,6,6,24.92,0.11,8.41
1981,6,7,24.78,0.7,8.47
1981,6,8,25.01,0.32,8.91
1981,6,9,25.12,0.14,8.73
1981,6,10,25.26,0.22,8.61
1981,6,11,25.35,0.26,9.49
1981,6,12,25.32,3.26,8.85
1981,6,13,24.98,2.25,7.94
1981,6,14,25.08,1.72,7.65
1981,6,15,25.19,0.58,7.41
1981,6,16,24.73,0.31,7.04
1981,6,17,24.87,0.13,7.1
1981,6,18,24.59,1.25,7.1
1981,6,19,24.57,0.32,8.27
1981,6,20,24.94,0.09,9.28
1981,6,21,24.98,0.07,8.74
1981,6,22,25.05,2.64,6.48
1981,6,23,24.75,0.22,5.56
1981,6,24,24.71,0.01,6.22
1981,6,25,24.55,0.67,6.91
1981,6,26,24.65,0.42,6.74
1981,6,27,24.73,0.65,5.77
1981,6,28,24.91,0.09,7.88
1981,6,29,25.14,0.18,9.0
1981,6,30,24.93,0.64,8.61
1981,7,1,24.66,0.09,6.44
1981,7,2,24.08,0.49,5.84
1981,7,3,24.22,1.15,5.24
1981,7,4,24.4,2.21,4.89
1981,7,5,24.4,0.02,5.22
1981,7,6,24.78,0.1,6.73
1981,7,7,24.98,0.07,7.57
1981,7,8,24.97,0.22,7.2
1981,7,9,25.15,0.13,7.98
1981,7,10,25.05,0.12,8.29
1981,7,11,25.06,0.12,9.39
1981,7,12,24.97,6.11,8.45
1981,7,13,24.77,2.68,8.32
1981,7,14,24.65,0.33,8.7
1981,7,15,24.59,0.26,8.38
1981,7,16,24.55,0.15,7.42
1981,7,17,24.33,0.06,5.04
1981,7,18,24.18,0.07,4.1
1981,7,19,25.27,0.21,5.16
1981,7,20,25.06,0.27,7.48
1981,7,21,25.42,0.2,8.16
1981,7,22,25.23,2.74,8.84
1981,7,23,25.23,0.16,7.58
1981,7,24,25.26,0.1,6.73
1981,7,25,25.3,0.06,7.16
1981,7,26,25.48,0.03,7.75
1981,7,27,25.31,0.07,7.86
1981,7,28,25.46,0.09,8.16
1981,7,29,25.38,0.04,7.52
1981,7,30,25.58,0.13,7.43
1981,7,31,25.55,0.11,6.88
1981,8,1,25.57,0.21,7.7
1981,8,2,25.7,0.15,8.3
1981,8,3,25.55,0.34,8.26
1981,8,4,25.78,3.8,8.53
1981,8,5,25.53,3.08,5.77
1981,8,6,25.64,0.26,3.65
1981,8,7,25.35,0.18,5.74
1981,8,8,25.57,0.31,8.02
1981,8,9,25.6,0.85,7.52
1981,8,10,25.45,0.9,7.98
1981,8,11,25.65,1.52,7.83
1981,8,12,25.73,14.32,7.98
1981,8,13,25.47,4.47,6.21
1981,8,14,25.19,0.35,5.04
1981,8,15,25.13,0.28,3.09
1981,8,16,25.73,0.36,3.05
1981,8,17,25.58,0.33,7.46
1981,8,18,25.69,0.31,8.55
1981,8,19,25.61,0.18,9.14
1981,8,20,25.59,0.4,7.45
1981,8,21,25.4,0.32,7.23
1981,8,22,25.31,0.36,7.22
1981,8,23,25.62,0.8,6.84
1981,8,24,25.46,2.37,5.48
1981,8,25,25.44,0.6,5.01
1981,8,26,25.4,0.28,6.23
1981,8,27,25.19,0.32,7.23
1981,8,28,25.57,1.23,6.7
1981,8,29,25.51,0.12,6.28
1981,8,30,25.3,0.18,6.38
1981,8,31,25.75,0.13,6.62
1981,9,1,25.78,0.03,6.98
1981,9,2,25.98,0.24,7.96
1981,9,3,26.1,0.07,9.56
1981,9,4,26.01,0.35,9.48
1981,9,5,26.01,0.57,8.17
1981,9,6,25.55,0.05,7.15
1981,9,7,25.55,0.0,6.32
1981,9,8,25.37,0.05,5.44
1981,9,9,25.19,0.02,4.0
1981,9,10,25.63,0.05,2.42
1981,9,11,26.24,3.74,1.98
1981,9,12,26.45,2.12,5.2
1981,9,13,26.16,0.35,4.74
1981,9,14,25.53,0.51,5.91
1981,9,15,25.23,0.25,4.9
1981,9,16,25.02,0.54,4.92
1981,9,17,25.21,0.03,5.83
1981,9,18,26.1,2.03,6.9
1981,9,19,26.26,1.48,8.43
1981,9,20,26.58,2.0,4.75
1981,9,21,26.44,0.4,5.01
1981,9,22,25.85,0.04,7.12
1981,9,23,25.69,0.17,7.65
1981,9,24,25.73,17.79,7.32
1981,9,25,25.87,2.83,7.45
1981,9,26,25.67,0.17,7.3
1981,9,27,25.55,0.82,7.91
1981,9,28,25.32,0.26,8.28
1981,9,29,25.49,0.31,7.14
1981,9,30,25.37,0.22,6.43
1981,10,1,25.81,0.44,8.16
1981,10,2,25.67,1.06,8.76
1981,10,3,25.69,1.69,8.43
1981,10,4,25.73,0.44,7.59
1981,10,5,25.22,0.08,7.02
1981,10,6,24.83,0.09,7.42
1981,10,7,24.78,2.15,6.74
1981,10,8,25.08,0.73,6.25
1981,10,9,24.94,0.23,6.64
1981,10,10,24.9,0.26,5.54
1981,10,11,25.08,0.52,3.13
1981,10,12,25.14,0.11,5.27
1981,10,13,25.37,0.06,6.98
1981,10,14,25.26,0.03,7.23
1981,10,15,24.58,0.01,5.77
1981,10,16,24.58,0.05,5.63
1981,10,17,24.33,0.07,4.62
1981,10,18,24.49,3.28,6.18
1981,10,19,24.41,0.19,5.44
1981,10,20,24.4,0.05,4.59
1981,10,21,24.44,0.23,6.54
1981,10,22,24.54,0.02,6.66
1981,10,23,24.5,3.05,5.24
1981,10,24,24.97,4.2,4.65
1981,10,25,24.41,0.63,6.62
1981,10,26,24.28,0.87,7.56
1981,10,27,24.73,3.37,9.38
1981,10,28,25.04,6.01,8.29
1981,10,29,25.44,4.17,5.58
1981,10,30,25.3,1.35,3.69
1981,10,31,25.23,0.84,2.08
1981,11,1,24.55,2.1,6.76
1981,11,2,24.59,4.01,8.39
1981,11,3,25.31,1.53,6.53
1981,11,4,25.76,1.64,1.42
1981,11,5,25.36,0.51,3.79
1981,11,6,24.44,0.26,6.33
1981,11,7,24.66,0.23,6.91
1981,11,8,24.76,0.19,5.55
1981,11,9,24.4,0.24,6.02
1981,11,10,24.64,0.22,6.78
1981,11,11,24.65,0.3,8.14
1981,11,12,24.87,0.09,7.46
1981,11,13,24.76,0.12,6.38
1981,11,14,23.98,0.05,4.37
1981,11,15,23.61,0.29,4.34
1981,11,16,24.41,0.5,6.78
1981,11,17,25.2,0.78,2.79
1981,11,18,24.78,0.25,5.55
1981,11,19,24.58,0.16,5.87
1981,11,20,24.78,0.1,6.63
1981,11,21,24.34,0.49,6.7
1981,11,22,24.12,7.43,9.54
1981,11,23,24.37,7.91,12.52
1981,11,24,23.64,5.99,13.15
1981,11,25,23.65,0.97,11.45
1981,11,26,23.97,1.27,10.58
1981,11,27,24.23,0.52,10.81
1981,11,28,23.98,1.2,9.73
1981,11,29,24.23,0.82,8.86
1981,11,30,24.09,1.25,9.28
1981,12,1,24.04,0.62,9.16
1981,12,2,23.87,0.85,9.86
1981,12,3,23.9,0.83,9.24
1981,12,4,23.53,0.09,9.78
1981,12,5,23.73,0.64,9.14
1981,12,6,23.55,0.79,8.97
1981,12,7,22.47,1.38,10.73
1981,12,8,20.95,0.3,11.68
1981,12,9,21.69,0.14,8.41
1981,12,10,22.11,0.01,6.95
1981,12,11,22.47,0.08,6.49
1981,12,12,22.72,8.53,4.41
1981,12,13,22.94,0.25,3.84
1981,12,14,23.34,0.44,4.82
1981,12,15,23.19,0.06,2.17
1981,12,16,23.43,0.06,4.17
1981,12,17,23.64,0.25,6.92
1981,12,18,24.3,0.53,5.82
1981,12,19,22.88,4.94,7.4
1981,12,20,23.58,1.34,7.24
1981,12,21,23.8,5.79,5.01
1981,12,22,23.96,0.98,4.08
1981,12,23,24.23,0.64,3.59
1981,12,24,24.0,0.92,3.36
1981,12,25,23.99,5.54,6.88
1981,12,26,23.98,4.62,7.4
1981,12,27,22.63,9.54,2.93
1981,12,28,23.17,1.79,2.32
1981,12,29,23.65,0.43,2.31
1981,12,30,23.27,0.0,3.67
1981,12,31,23.69,3.32,3.55
1982,1,1,23.46,0.56,1.38
1982,1,2,23.52,5.33,3.92
1982,1,3,22.4,3.09,3.4
1982,1,4,23.05,1.62,1.74
1982,1,5,24.13,3.38,4.65
1982,1,6,24.53,10.12,9.55
1982,1,7,22.98,9.34,5.61
1982,1,8,21.87,3.71,4.74
1982,1,9,22.91,4.29,4.66
1982,1,10,23.67,3.73,3.11
1982,1,11,23.57,10.04,4.53
1982,1,12,23.71,1.25,3.42
1982,1,13,23.52,3.38,1.88
1982,1,14,23.37,4.62,2.68
1982,1,15,22.79,11.48,1.37
1982,1,16,23.44,10.44,4.16
1982,1,17,23.44,2.28,4.83
1982,1,18,23.19,9.65,2.89
1982,1,19,23.3,8.3,5.02
1982,1,20,22.93,15.18,7.67
1982,1,21,23.5,10.98,8.77
1982,1,22,22.86,5.85,4.09
1982,1,23,22.26,3.0,3.34
1982,1,24,21.45,12.32,6.96
1982,1,25,21.65,18.37,11.05
1982,1,26,21.94,1.25,10.81
1982,1,27,22.3,0.18,10.65
1982,1,28,22.36,0.25,7.12
1982,1,29,22.11,0.37,6.43
1982,1,30,21.46,0.01,6.61
1982,1,31,20.48,0.0,2.2
1982,2,1,21.87,0.09,4.72
1982,2,2,22.81,30.74,6.15
1982,2,3,21.12,0.02,5.41
1982,2,4,21.29,0.04,2.05
1982,2,5,22.1,0.89,5.2
1982,2,6,21.4,0.13,7.12
1982,2,7,21.76,14.24,6.08
1982,2,8,22.51,18.43,8.47
1982,2,9,22.78,3.99,7.64
1982,2,10,22.78,3.83,7.24
1982,2,11,23.28,10.48,12.2
1982,2,12,23.57,20.3,8.7
1982,2,13,23.37,0.05,7.21
1982,2,14,23.48,14.69,4.98
1982,2,15,23.46,0.74,1.23
1982,2,16,23.52,4.98,3.27
1982,2,17,23.88,0.79,5.73
1982,2,18,23.75,0.15,4.94
1982,2,19,22.79,13.04,3.99
1982,2,20,22.16,7.82,8.12
1982,2,21,22.9,0.33,6.08
1982,2,22,23.15,0.65,3.59
1982,2,23,23.23,3.87,2.23
1982,2,24,22.23,4.29,1.8
1982,2,25,21.37,1.74,2.09
1982,2,26,22.03,1.65,2.1
1982,2,27,21.85,4.04,6.22
1982,2,28,21.33,1.18,6.57
1982,3,1,21.83,0.64,5.1
1982,3,2,22.37,0.74,4.19
1982,3,3,22.19,1.9,5.61
1982,3,4,21.1,0.07,5.87
1982,3,5,20.87,0.02,6.34
1982,3,6,21.14,0.55,7.34
1982,3,7,21.36,0.31,8.0
1982,3,8,20.78,1.07,7.82
1982,3,9,20.85,1.92,7.29
1982,3,10,21.61,2.8,7.66
1982,3,11,21.42,3.78,8.52
1982,3,12,22.15,8.46,9.34
1982,3,13,23.02,8.42,8.12
1982,3,14,23.89,11.2,5.01
1982,3,15,23.51,5.35,5.14
1982,3,16,23.51,4.97,3.03
1982,3,17,22.76,5.53,2.58
1982,3,18,21.68,4.15,3.69
1982,3,19,21.93,1.02,5.24
1982,3,20,22.28,0.98,2.73
1982,3,21,23.16,1.41,5.66
1982,3,22,22.83,5.77,9.68
1982,3,23,22.0,3.7,9.88
1982,3,24,21.15,0.03,9.36
1982,3,25,21.41,0.39,8.54
1982,3,26,21.86,0.49,7.62
1982,3,27,22.17,1.73,7.91
1982,3,28,22.03,7.91,6.35
1982,3,29,22.58,25.41,6.7
1982,3,30,22.16,22.91,8.75
1982,3,31,22.19,13.74,8.02
1982,4,1,22.41,5.4,7.11
1982,4,2,22.68,4.52,3.95
1982,4,3,22.15,0.85,8.06
1982,4,4,22.3,0.18,7.11
1982,4,5,22.29,0.63,6.43
1982,4,6,22.6,0.35,3.55
1982,4,7,23.49,2.76,6.0
1982,4,8,23.51,5.04,4.57
1982,4,9,20.64,1.16,7.79
1982,4,10,20.21,2.6,7.09
1982,4,11,20.84,1.12,6.15
1982,4,12,21.12,1.06,6.77
1982,4,13,21.47,27.46,7.91
1982,4,14,22.06,1.34,7.34
1982,4,15,22.9,1.45,6.38
1982,4,16,23.08,0.66,8.3
1982,4,17,23.26,0.72,6.7
1982,4,18,23.19,2.79,5.71
1982,4,19,22.9,0.58,6.53
1982,4,20,22.8,0.56,7.37
1982,4,21,22.12,1.44,7.9
1982,4,22,21.21,2.78,8.91
1982,4,23,21.82,0.43,7.24
1982,4,24,21.57,0.19,7.4
1982,4,25,20.91,0.1,8.49
1982,4,26,21.38,0.51,7.97
1982,4,27,22.05,0.42,8.3
1982,4,28,22.16,0.34,8.88
1982,4,29,22.04,0.49,8.94
1982,4,30,22.15,0.6,9.1
1982,5,1,22.19,0.28,8.32
1982,5,2,22.69,3.41,5.6
1982,5,3,23.02,0.86,4.29
1982,5,4,22.9,0.44,3.12
1982,5,5,23.06,0.4,4.78
1982,5,6,23.63,3.76,4.97
1982,5,7,23.02,4.15,5.7
1982,5,8,22.65,3.71,7.28
1982,5,9,22.44,3.99,7.52
1982,5,10,22.76,3.06,8.33
1982,5,11,22.96,3.31,8.02
1982,5,12,23.19,2.17,7.88
1982,5,13,23.29,0.33,6.57
1982,5,14,22.98,1.7,6.26
1982,5,15,23.65,1.06,3.48
1982,5,16,23.81,1.44,3.17
1982,5,17,24.29,0.46,5.27
1982,5,18,24.13,1.16,6.51
1982,5,19,23.82,1.85,8.42
1982,5,20,23.69,0.3,9.5
1982,5,21,23.47,0.09,9.64
1982,5,22,23.62,0.12,8.77
1982,5,23,23.26,7.13,6.84
1982,5,24,23.24,1.39,7.16
1982,5,25,22.86,0.64,7.02
1982,5,26,22.85,0.11,5.56
1982,5,27,22.31,3.99,5.09
1982,5,28,22.65,0.16,6.03
1982,5,29,22.24,0.1,7.09
1982,5,30,22.37,0.07,6.38
1982,5,31,22.37,0.27,6.35
1982,6,1,22.86,2.26,3.7
1982,6,2,23.01,0.13,2.41
1982,6,3,23.19,0.54,1.99
1982,6,4,23.03,4.72,2.79
1982,6,5,24.29,1.28,1.66
1982,6,6,24.04,0.79,3.37
1982,6,7,24.14,1.77,2.76
1982,6,8,24.07,0.98,3.0
1982,6,9,24.5,1.0,3.43
1982,6,10,25.15,1.67,4.39
1982,6,11,25.3,0.49,5.38
1982,6,12,24.86,0.21,6.3
1982,6,13,25.04,2.58,6.69
1982,6,14,24.56,0.55,5.8
1982,6,15,24.58,0.04,5.48
1982,6,16,24.8,0.91,3.73
1982,6,17,24.98,0.83,3.06
1982,6,18,25.3,1.12,3.8
1982,6,19,25.15,0.3,5.18
1982,6,20,24.8,0.08,4.97
1982,6,21,24.55,0.03,5.09
1982,6,22,24.29,0.01,5.04
1982,6,23,24.84,1.35,4.45
1982,6,24,25.26,0.51,4.55
1982,6,25,25.2,0.56,6.05
1982,6,26,25.36,0.31,7.69
1982,6,27,25.6,4.01,7.57
1982,6,28,25.31,0.7,8.0
1982,6,29,25.1,0.27,8.02
1982,6,30,25.17,0.22,7.84
1982,7,1,24.9,0.29,8.89
1982,7,2,24.65,0.28,10.31
1982,7,3,24.98,0.17,9.87
1982,7,4,25.06,0.07,8.84
1982,7,5,24.78,1.61,7.95
1982,7,6,24.6,0.5,8.38
1982,7,7,24.56,2.53,7.89
1982,7,8,24.54,0.97,7.76
1982,7,9,24.77,0.22,8.48
1982,7,10,24.83,37.43,7.91
1982,7,11,25.04,3.27,8.52
1982,7,12,25.13,1.9,8.16
1982,7,13,24.8,0.62,9.26
1982,7,14,24.67,0.15,9.69
1982,7,15,24.48,2.19,9.6
1982,7,16,24.9,3.06,8.99
1982,7,17,25.49,4.35,8.27
1982,7,18,25.66,2.84,9.02
1982,7,19,24.91,0.94,6.89
1982,7,20,24.62,0.53,5.02
1982,7,21,25.34,1.88,5.73
1982,7,22,25.85,5.75,2.74
1982,7,23,25.51,1.17,2.21
1982,7,24,25.51,0.26,3.12
1982,7,25,25.62,2.02,5.17
1982,7,26,25.65,0.3,5.83
1982,7,27,25.66,0.29,5.88
1982,7,28,25.71,0.29,6.34
1982,7,29,26.0,1.93,6.66
1982,7,30,25.91,0.69,6.94
1982,7,31,26.04,0.27,9.14
1982,8,1,25.85,3.73,9.9
1982,8,2,25.5,11.61,8.21
1982,8,3,25.51,0.38,8.11
1982,8,4,25.3,6.03,7.53
1982,8,5,25.51,1.31,6.41
1982,8,6,25.69,0.1,7.92
1982,8,7,25.75,0.17,9.25
1982,8,8,25.54,6.81,9.37
1982,8,9,25.3,5.31,9.8
1982,8,10,25.49,4.04,9.87
1982,8,11,25.34,3.22,10.36
1982,8,12,25.03,1.1,9.44
1982,8,13,24.87,0.84,8.0
1982,8,14,25.26,1.7,7.76
1982,8,15,25.44,8.17,7.35
1982,8,16,25.28,0.95,4.12
1982,8,17,24.85,6.53,4.87
1982,8,18,25.01,0.53,3.08
1982,8,19,25.15,0.1,4.23
1982,8,20,25.42,0.64,5.3
1982,8,21,25.51,31.7,7.16
1982,8,22,25.59,17.18,8.3
1982,8,23,25.52,9.24,8.69
1982,8,24,25.66,1.07,7.42
1982,8,25,25.73,1.01,7.18
1982,8,26,25.58,0.09,9.08
1982,8,27,25.5,0.15,9.43
1982,8,28,25.58,0.8,9.3
1982,8,29,25.46,1.6,8.69
1982,8,30,25.41,4.33,9.52
1982,8,31,25.36,2.35,9.06
1982,9,1,25.51,2.4,7.41
1982,9,2,25.4,5.43,7.21
1982,9,3,25.28,0.89,7.86
1982,9,4,24.87,0.79,7.46
1982,9,5,24.23,15.19,5.7
1982,9,6,24.81,1.51,3.45
1982,9,7,25.33,2.26,4.56
1982,9,8,25.8,0.63,7.3
1982,9,9,26.05,2.44,9.41
1982,9,10,25.62,44.89,9.63
1982,9,11,25.65,9.59,8.73
1982,9,12,25.19,10.58,7.72
1982,9,13,25.46,0.74,5.39
1982,9,14,25.64,0.38,5.54
1982,9,15,25.9,0.99,6.85
1982,9,16,25.59,0.33,6.98
1982,9,17,25.01,1.67,6.62
1982,9,18,24.81,13.46,6.45
1982,9,19,25.01,0.35,6.24
1982,9,20,24.65,30.64,6.61
1982,9,21,24.66,6.65,6.3
1982,9,22,24.9,0.99,6.33
1982,9,23,24.91,3.09,7.86
1982,9,24,24.94,0.22,7.49
1982,9,25,25.16,0.28,8.31
1982,9,26,25.19,1.19,8.7
1982,9,27,25.54,8.87,6.87
1982,9,28,25.51,1.64,5.85
1982,9,29,25.08,1.23,7.4
1982,9,30,24.87,0.78,7.51
1982,10,1,24.98,8.9,8.05
1982,10,2,24.99,10.9,7.51
1982,10,3,24.94,2.13,8.02
1982,10,4,25.09,1.86,6.97
1982,10,5,25.34,2.15,7.46
1982,10,6,25.57,3.01,6.45
1982,10,7,25.26,0.55,6.09
1982,10,8,25.26,0.42,5.65
1982,10,9,24.95,0.23,6.97
1982,10,10,25.19,5.73,7.58
1982,10,11,25.42,0.66,7.31
1982,10,12,25.74,0.48,6.69
1982,10,13,25.47,0.28,8.18
1982,10,14,25.32,0.17,7.76
1982,10,15,24.93,0.13,6.83
1982,10,16,24.79,0.09,7.12
1982,10,17,24.59,40.58,6.9
1982,10,18,24.05,15.77,6.24
1982,10,19,24.28,3.02,4.76
1982,10,20,23.85,0.94,5.76
1982,10,21,24.17,4.89,5.62
1982,10,22,24.23,96.9,6.98
1982,10,23,24.64,6.82,6.43
1982,10,24,24.63,26.72,5.03
1982,10,25,24.75,0.13,1.16
1982,10,26,25.87,0.82,1.59
1982,10,27,25.27,12.82,5.28
1982,10,28,24.47,17.54,3.48
1982,10,29,24.9,9.42,4.63
1982,10,30,25.98,6.98,4.52
1982,10,31,25.81,0.03,4.9
1982,11,1,25.87,1.59,2.2
1982,11,2,25.24,2.17,4.79
1982,11,3,24.9,0.82,9.44
1982,11,4,25.18,0.73,9.42
1982,11,5,25.45,3.36,8.83
1982,11,6,25.24,6.46,8.36
1982,11,7,25.03,2.75,7.0
1982,11,8,25.36,0.83,5.53
1982,11,9,25.27,11.42,6.37
1982,11,10,25.16,6.64,8.46
1982,11,11,24.95,2.59,9.41
1982,11,12,24.64,0.29,9.62
1982,11,13,24.32,0.1,10.19
1982,11,14,23.64,0.08,9.84
1982,11,15,23.52,13.8,9.37
1982,11,16,23.73,8.67,8.0
1982,11,17,24.0,1.96,5.65
1982,11,18,24.55,8.04,1.95
1982,11,19,24.73,0.87,2.42
1982,11,20,23.83,20.77,6.73
1982,11,21,24.26,1.63,6.23
1982,11,22,24.64,8.31,3.7
1982,11,23,25.0,7.52,11.91
1982,11,24,23.65,1.3,7.85
1982,11,25,22.2,0.1,5.84
1982,11,26,22.78,0.42,7.09
1982,11,27,23.32,5.06,7.16
1982,11,28,23.45,15.97,7.36
1982,11,29,24.08,0.87,7.71
1982,11,30,24.4,0.29,6.9
1982,12,1,24.63,0.12,2.97
1982,12,2,24.04,0.09,3.28
1982,12,3,23.24,8.32,4.25
1982,12,4,23.04,2.04,5.21
1982,12,5,23.8,0.06,2.79
1982,12,6,23.27,1.99,6.45
1982,12,7,21.28,1.01,7.93
1982,12,8,21.46,5.45,6.78
1982,12,9,21.95,4.9,5.13
1982,12,10,22.3,0.29,4.89
1982,12,11,22.77,0.15,7.68
1982,12,12,23.05,0.42,9.36
1982,12,13,23.33,2.61,9.6
1982,12,14,23.12,0.41,6.9
1982,12,15,23.08,0.25,7.16
1982,12,16,22.44,0.07,8.45
1982,12,17,22.84,0.58,8.97
1982,12,18,22.42,0.32,11.17
1982,12,19,21.15,0.02,10.98
1982,12,20,21.16,0.01,7.78
1982,12,21,21.79,23.86,6.9
